Primary Name	Arrival_Date	PIC tier	Ammonia (NH3) as Nitrogen (N)	Barometric pressure	Dissolved Oxygen	Dissolved Oxygen Percent Saturation	Fecal Coliform	Flow	Nitrate as N	Nitrite as N	pH	Phosphate as P	Precipitation	Precipitation (24 hour)	Salinity	Silicate as Si	Specific Conductivity (at 25 deg C)	Stream/River Stage	"Temperature, water"	Total Persulfate Nitrogen	Total Persulfate Phosphorus	Turbidity
Bagley 0.7a	1/26/2021	2		29.38	13.4	99	12				7.8				0.1		148	-14.2	2.2			5
Bagley 0.7a	4/20/2021	2		30.02	11.3	99	10				7.6				0.1		210	-17.78	9.8			1
Bagley 0.7a	8/10/2021	2		29.94	9.9	95	48				7.9				0.1		255	-12.83	13.4			2
Bagley 0.7a	11/16/2021	2		30.16	12.3	100	80				7.5				0		107	-11.98	6.7			34
Bagley 0.7a	1/11/2022	2		29.95	13.6	101	40				7.6				0		84	-11.85	3.1			23
Bagley 0.7a	5/26/2022	2		29.7	10.9	97	36				7.9				0.1		204	-12.4	10			2
Bagley 0.7a	8/9/2022	2		29.76	9.9	96	76				8				0.1		102	-12.45				2
Bagley 0.7a	11/16/2022	2		30.31	12.6	97	4				7.9				0.1		222	-12.35	4.9			2
Bagley 0.7a	1/10/2023	2		29.46	12.7	100	34				7.8				0.1		134	-11.95	4.6			11
Bagley 0.7a	4/11/2023	2		29.81	12.1	100	2				7.9				0.1		195	-11.9	7.1			2
Bagley 0.7a	8/15/2023	2		29.83	9.5	94	76				7.8				0.1		269	-12.26	15			1
Bagley 0.7a	11/14/2023	2		29.87	12.1	91	12				7.8				0.1		249	-12.81	5.5			2
Bagley 0.7a	1/11/2024	2		29.56	13	100	40				7.7				0.1		131	-12.64	3.8			12
Bagley 0.7a	4/4/2024	2		29.65	12	98	152				8				0.1		210	-15.15	6.4			3
Bagley 0.7a	8/21/2024	2		29.93	10.1	95	6				8				0.1		264	-13.1	12.8			3
Bagley 0.7a	11/13/2024	2		29.36	11	96	86				7.9				0.1		208	-12.54	8.6			12
Bell 0.2	5/12/2015	1					182								0.2			0.94	12.1			
Bell 0.2	8/13/2015	1					4								0.2			0.96	14.8			
Bell 0.2	10/8/2015	1	7.4	30.11	9.8		136		"2,524.20"	3.4	8	50.8			0.2	"8,534.30"	444	1	12.4	"3,888.30"	108.7	5
Bell 0.2	11/23/2015	1	25	29.86	11.2		14		"4,751.60"	11.1	7.9	116.9			0.2	"11,589.10"	505	1.1	6.6	"6,298.60"	139.4	3
Bell 0.2	12/17/2015	1	24.2	29.7	11.6		18		"2,390.20"	8	7.7	109.2			0.2	"11,077.50"	361	1.52	6	"4,637.30"	138.7	5
Bell 0.2	1/25/2016	1	25.5				132		"2,537.93"	13.22		93.17			0.2	"9,408.47"	377	1.3	5.8	"4,526.34"	122.89	
Bell 0.2	2/17/2016	1	128.6	29.4	11		1000		"1,759.62"	23.42	7.5	105.43			0.1	"8,416.09"	372	1.54	8.2	"3,693.49"	193.85	9
Bell 0.2	3/15/2016	1	82.5	30.2	11.8		102		"1,272.10"	11.66	7.5	90.23			0.2	"10,468.69"	343	1.52	6.6	"3,545.08"	135.34	7
Bell 0.2	4/11/2016	1	10.2	30.13	11.2		23		"3,336.77"	7.01	8.1	89.66			0.2	"7,801.43"	460	1	10.3	"4,810.70"	100.43	4
Bell 0.2	5/17/2016	1	12.7	30.3	10.4		40		"3,173.51"	5.89	8.1	211.7			0.2	"8,124.66"	440	0.92	10.9	"3,159.41"	213.91	4
Bell 0.2	6/21/2016	1	14.7	30.3	9.8		70		"3,476.54"	6.34	7.9	163.84			0.2	"8,889.61"	454	0.46	12.4	"4,882.40"	201.58	4
Bell 0.2	7/19/2016	1	36.4	30.1	8.9		888		"3,912.35"	14.16	7.8	168.3			0.2	"9,169.83"	466	0.76	14.1	"5,066.27"	194.02	4
Bell 0.2	8/15/2016	1	9.9	30.09	9.4		54		"3,272.17"	4.93	8	89.54			0.2	"8,564.04"	435	0.88	14	"4,143.12"	109.63	2
Bell 0.2	9/20/2016	1	11.5	30.17	10.3		20		"3,460.47"	4.39	8	53.42			0.2	"9,116.25"	457	1	11.4	"4,451.54"	97.4	2
Bell 0.2	10/18/2016	1	10.4	29.98	10.1	91	2		"2,301.75"	6.65	7.9	77.3			0.2	"9,305.00"	481	1.06	10.4	"4,060.65"	122.34	1
Bell 0.2	11/14/2016	1	19.8	30.04	10.1	90	2		"2,790.17"	5.66	7.8	89.18			0.2	"9,212.32"	464	1.06	10.3	"4,653.13"	69.37	1
Bell 0.2	12/13/2016	1	17.6	30.33	12.1	94	36		"3,500.21"	8.24	8.2	125.63			0.2	"9,049.86"	488	1.04	5.4	"5,374.74"	169.71	4
Bell 0.2	1/9/2017	1	19.4	29.6	12	94	6		"1,947.47"	14.38	7.9	82.97			0.2	"4,341.57"	492	1.04	4.6	"4,967.18"	130.38	2
Bell 0.2	2/14/2017	1	26	30.01	12.6	96	10		"4,032.56"	10.21	8	82.97			0.2	"18,024.97"	452	1.14	4	"4,609.33"	142.5	4
Bell 0.2	3/14/2017	1	9.1	29.68	11.1	95	6		"1,986.13"	6.76	7.8	54.7			0.2	"7,287.39"	398	1.39	7.9	"2,548.15"	92.94	4
Bell 0.2	4/17/2017	1	8.3	29.81	11	97	4		"2,088.55"	4.69	8	58.48			0.2	"8,410.70"	404	1.24	9.7	"4,000.97"	103.75	3
Bell 0.2	5/9/2017	1	10.2	30.08	11.2	98	18		"3,169.28"	5.25	8.1	123.31			0.2	"8,674.85"	458	0.98	9.7	"4,096.94"	180.49	3
Bell 0.2	6/13/2017	1	13.4		9.9	91	42		"3,461.23"	6.94	8	323.25			0.2	"8,521.55"	493	0.78	11.9	"5,181.21"	391.76	6
Bell 0.2	7/18/2017	1	19.2	30.03	9.3	88	56		"4,516.18"	7.22	7.9	650.08			0.2	"8,779.27"	502	0.68	13.1	"7,072.21"	788.68	5
Bell 0.2	8/14/2017	1	7.6	30.02	9.7	92	52		"3,381.15"	4.69	8.2	419.63			0.2	"7,747.75"	437	1.04	13.1	"5,105.70"	600.35	4
Bell 0.2	9/19/2017	1	8.9	29.73	10.4	95	48		"3,531.31"	4.71	8.2	225.26			0.2	"9,237.85"	473	1	10.9	"5,070.42"	390.48	4
Bell 0.2	10/10/2017	1	6.7	29.87	10.8	95	23		"3,243.46"	3.61	8.4	465.64			0.2	"8,917.45"	475	1.04	9.8	"4,755.10"	636.61	4
Bell 0.2	11/13/2017	1	39.7	29.6	10.3	89	81		"1,434.07"	10.98		147.28			0.2	"7,587.18"	430	1.28	8.8	"3,804.54"	253.61	7
Bell 0.2	12/12/2017	1	30.2	30.48	12	94	3		"3,663.37"	9.98		88.86			0.2	"8,890.69"	487	1.06	5.8	"4,396.01"	113.25	2
Bell 0.2	1/8/2018	1	24	29.78	11.5	94	5		"1,944.37"	8.43		139.52			0.2	"8,448.16"	393	1.48	6.5	"3,385.84"	173.83	4
Bell 0.2	2/13/2018	1	20.2	30.28	12.8	97	20		"3,042.85"	12.68	8.1	122.42			0.2	"8,491.20"	422	1.26	3.8	"4,327.00"	294.51	5
Bell 0.2	3/13/2018	1	14.2	29.68	11.3	96	17		"3,225.98"	8.5	8.2	82.47			0.2	"7,019.17"	448	1.16	7.5	"4,623.33"	130.57	3
Bell 0.2	4/16/2018	1	30.9	29.6	11.1	95	142		779.34	4.28	7.9	87.25			0.2	"7,524.19"	312	2.1	8.3	"2,464.22"	228.93	26
Bell 0.2	5/15/2018	1	9.2	29.94	10.3	96	28		"2,207.17"	4.52	8.1	70.69			0.2	"6,370.32"	339	1.14	11.8	"3,244.51"	140.52	5
Bell 0.2	6/12/2018	1	14.1	30.09	10.6	95	243		"2,604.77"	6.47	8	207.15			0.2	"7,331.88"	410	1	10.6	"3,419.75"	272.39	5
Bell 0.2	7/10/2018	1	11.4	30.25	9.8	93	47		"2,875.91"	4.87	8	167.38			0.2	"7,464.34"	391	0.88	13.4	"4,060.96"	206.44	4
Bell 0.2	8/13/2018	1	7.5	30.09	9.9	95	61		"1,689.17"	3.01	8	104.84			0.2	"6,216.43"	308	1	13.6	"2,989.36"	103.88	3
Bell 0.2	9/11/2018	1	7.4	29.92	10	95	82		"1,916.75"	3.71	8.1	92.87			0.2	"6,422.61"	335	0.94	12.8	"2,760.34"	120.78	4
Bell 0.2	10/9/2018	1	27.8	29.93	10.1	92	1424		"2,958.96"	103.42	8	170.49			0.2	"9,112.16"	486	1.1	11.3	"4,353.58"	228.62	4
Bell 0.2	11/13/2018	1	8.1	30.33	11.8	95	6		"3,180.56"	4.55	7.9	55.36			0.2	"8,967.46"	479	0.98	6.5	"3,973.05"	76.11	1
Bell 0.2	12/11/2018	1	17.7	29.66	11.3	94	20		"3,404.72"	6.94		81.07			0.2	"9,083.83"	481	0.98	7.1	"4,441.89"	99.31	1
Bell 0.2	1/7/2019	1	20.9	30.06	12.3	96	19		"2,925.90"	10.37	7.9	122			0.2	"8,672.17"	459	1.12	5.3	"4,167.52"	179.53	3
Bell 0.2	2/26/2019	1	12.9	30.16	13.4	98	21		"2,546.20"	6.06		104.93			0.2	"7,893.33"	377	1.52	2.7	"3,993.11"	145.81	6
Bell 0.2	3/12/2019	1	20	29.84	12.4	98	11		"2,761.61"	5.05	8	93.88			0.2	"7,392.93"	424	1.2	5.3	"3,805.48"	117.29	2
Bell 0.2	4/15/2019	1	18.1	29.79	11.9	101	13		"2,016.74"	5.14	8.1	74.46			0.2	"7,438.06"	432	1.18	7.7	"3,093.31"	112.81	1
Bell 0.2	5/14/2019	1	27.5	29.89	10.5	94	108		"2,906.73"	6.9	8	148.03			0.2	"7,179.38"	424	0.82	10.5	"3,752.84"	182.78	3
Bell 0.2	6/11/2019	1	22	30.26	9.8	96	398		"3,369.66"	8.42	7.7	267.24			0.2	"8,558.16"	451	0.75	12.9	"4,661.05"	324.49	5
Bell 0.2	7/9/2019	1	14.2	29.96	10	94	146		"2,613.31"	6.46	7.8	186.97			0.2	"7,954.63"	400	0.4	12.8	"3,584.74"	212.49	4
Bell 0.2	8/12/2019	1	19.2	30.12	9.5	93	624		"2,769.08"	9.55	7.9	227.79			0.2	"8,521.46"	423	0.74	14.6	"3,722.89"	263.9	3
Bell 0.2	9/10/2019	1	9	29.93	10	96	231		"3,065.45"	5.2	7.8	83.64				"9,282.01"	443	0.82	13.5	"3,825.65"	112.85	3
Bell 0.2	10/8/2019	1	15.5	29.88	10.7	95	99		"3,222.24"	4.16	7.9	47.97			0.2	"9,686.07"	463	0.9	9.9	"3,808.19"	105.58	2
Bell 0.2	11/12/2019	1	18.8	30.1	10.7	93	27		"2,966.53"	5.89	7.8	51.31			0.2	"9,502.75"	469	1	9.4	"3,379.77"	77.35	2
Bell 0.2	12/10/2019	1	26.3	30.12	11.3	94	45		"3,008.60"	9.16	7.9	70.99			0.2	"8,645.81"	479	0.98	7.9	"4,124.70"	107.11	3
Bell 0.2	1/21/2020	1	19	29.58	11.9	96	226		"1,748.76"	6.58	7.5	86.86			0.2	"8,732.25"	372	1.51	5.6	"2,608.67"	131.8	8
Bell 0.2	2/11/2020	1		30.22	12.2	96	96				7.5				0.2		349	1.68	5.7			9
Bell 0.2	3/10/2020	1	18.4	30.15	12.5	98	66		"2,760.36"	4.97	8	85.2			0.2	"7,962.58"	441	1.2	5.2	"3,423.56"	101.65	2
Bell 0.2	4/12/2020	1		30.25	11.6	101	73				8				0.2		415	1.04	9.8			2
Bell 0.2	5/12/2020	1		29.61	10.4	97	119				8				0.2		420	1	12			7
Bell 0.2	6/15/2020	1	12.9	29.79	10.2	94	212		"2,542.92"	5.65		226.26			0.2	"8,226.77"	424	0.98	11.7	"3,197.51"	287.07	6
Bell 0.2	7/14/2020	1	19.4	30.12	10.1	94	271		"3,059.78"	6.36		224.74			0.2	"8,190.58"	416	0.85	12.2	"3,656.93"	264.24	4
Bell 0.2	8/12/2020	1		29.99	10	94	163								0.2		406		12.5			3
Bell 0.2	9/28/2020	1		30.3	11	95	77				8.1				0.2		470	1	11.1			3
Bell 0.2	10/12/2020	1	9.9	30.12	10.5	95	73		"2,990.57"	4.23	8.1	43.49			0.2	"8,800.23"	470	1.25	10.7			2
Bell 0.2	11/16/2020	1	31.7	29.86	11.1	93	495		"2,616.73"	5.53	8	78.71			0.2	"8,758.14"	467	1.15	7.3			4
Bell 0.2	12/7/2020	1		30.16	11.4	95	3				8				0.2		484	0.98	7.9			3
Bell 0.2	1/11/2021	1		29.9	11.6	95	70				7.3				0.2		426	1.35	6.8			5
Bell 0.2	2/9/2021	1		30.16	12.5	98	58				8.1				0.2		448	1.25	5.1			4
Bell 0.2	3/8/2021	1	22.1	29.98	12.6	100	99		"2,719.44"	5.72	8.1	62.1			0.2	"6,644.06"	464	1.1	5.9	"3,813.81"	91.3	3
Bell 0.2	4/19/2021	1		30.2	11.5	102	741				8.2				0.2		444	1.05	10.3			2
Bell 0.2	5/10/2021	1	12.8	30.24	11.2	99	375		"2,542.18"	4.36	8.2	50.15			0.2	"6,036.23"	436	1.06	10.4	"2,923.08"	85.59	3
Bell 0.2	6/14/2021	1		29.94	9.9	93	173				7.9						450	1.06	12.3			7
Bell 0.2	7/12/2021	1	18.6	30.04	9.7	92	258		"2,633.26"	8.95	7.9	239.41			0.2	"7,619.87"	437	0.86	13.3	"3,180.66"	326.52	5
Bell 0.2	8/9/2021	1		30.09	9.8	94	424				8				0.2		412	1	13.7			5
Bell 0.2	9/13/2021	1	50	30.16	9.7	90	999		"2,684.01"	19.01	7.9	159.81			0.2	"7,721.22"	452	8.92	12.5	"3,555.87"	260.43	5
Bell 0.2	10/11/2021	1		30.24	11.3	96	52				8				0.2		473	1.08	8.7			2
Bell 0.2	11/8/2021	1	23.5	29.91	11.4	94	12		"2,820.59"	6.39	8	52.3			0.2	"7,953.73"	493	1.14	7	"3,429.02"	82.26	3
Bell 0.2	12/13/2021	1		29.37	11.9	95	352				7.3				0.2		358	1.6	4.9			9
Bell 0.2	1/10/2022	1	40.7	30.2	12.9	96	50		"1,903.25"	10.81	7.6	76.83			0.2	"7,072.25"	352	1.7	3.3	"2,684.73"	121.18	8
Bell 0.2	2/14/2022	1		29.79	11.7	97	72				8				0.2		458	1.14	6.8			4
Bell 0.2	3/14/2022	1	22.1	29.95	11.8	98	40		"2,593.54"	6.27		51.78			0.2	"6,746.25"	438	1.14	7.4	"3,109.37"	94.08	4
Bell 0.2	4/26/2022	1		29.94	11.8	101	42				8.1				0.1		294	1.31	8.4			4
Bell 0.2	5/9/2022	1	12.8	29.85	11.5	99	50		"2,304.58"	5.52	8.2	48.24			0.2	"6,411.19"	438	1	8.4	"3,329.72"	89.95	5
Bell 0.2	6/13/2022	1		29.97	10.2	94	1596				8.3				0.2		445	1.06	11.3			8
Bell 0.2	7/12/2022	1	42.4	29.89	9.5	92	244		"2,374.41"	13.79	8.1	151.26			0.2	"7,088.43"	448	0.8	13.8	"2,980.79"	236.43	9
Bell 0.2	8/8/2022	1		29.93	8.7	85	3108				7.9				0.2		390		14.7			7
Bell 0.2	9/12/2022	1	27.8	29.97	9.3	92	730		"2,057.32"	8.79	8	146.97			0.2	"6,668.08"	310	1.1	14.6	"2,815.22"	232.3	7
Bell 0.2	10/10/2022	1		29.97	10.5	95	370				8.2				0.2		471	0.9	10.9			6
Bell 0.2	11/14/2022	1	23.5	30.39	11.2	93	75		"2,820.59"	6.39	8	52.3			0.2	"7,953.73"	505	1.26	7.6	"3,429.02"	82.26	2
Bell 0.2	12/5/2022	1		29.99	12.1	94	18				8.1				0.2		488	1.27	4.9			1
Bell 0.2	1/9/2023	1	24	29.29	11.3	95	24		"3,115.13"	16.15	8.1	47.33			0.2	"7,596.69"	480		6.7	"3,705.57"	101.51	3
Bell 0.2	2/13/2023	1		29.77	12.2	98	38				8.2				0.2		487	1.08	5.8			4
Bell 0.2	3/13/2023	1	17.6	29.62	11.5	95	62		"2,675.02"	6.12	8.1	34.52			0.2	"6,785.98"	488	1.08	6.4	"3,311.38"	88.3	3
Bell 0.2	4/10/2023	1		29.98	11.2	96	144				8.1				0.2		491		8.6			2
Bell 0.2	5/15/2023	1	18.1	29.91	10	96	2520		"2,139.87"	6.03	8.1	46.35			0.2	"6,718.21"	464	0.8	13.3	"2,855.23"	122.16	6
Bell 0.2	6/12/2023	1		29.94	10	94	430				7.9				0.2		406	1	12.7			6
Bell 0.2	7/10/2023	1		29.99	9.9	95	313				7.9				0.2		314		13.2			6
Bell 0.2	8/14/2023	1		30	9.2	92	520				7.9				0.2		444	1	15.3			4
Bell 0.2	9/11/2023	1	12.1	30.01	9.9	94	180		"2,309.60"	3.78	8.1	39.25			0.2	"7,591.73"	498	0.9	13.3			5
Bell 0.2	10/9/2023	1		29.51	10	94	328				8.1				0.3		531	0.98	12			5
Bell 0.2	11/13/2023	1	32.6	29.99	11.1	94	9		"1,870.10"	3.94	8	34.83			0.2	"7,983.58"	507	1.08	8.1			2
Bell 0.2	12/11/2023	1		30.2	11.1	93	26				8				0.3		506	1.18	8.8			4
Bell 0.2	1/9/2024	1		29.45	11.3	93	546				7.8				0.2		423	1.6	6.1			25
Bell 0.2	2/22/2024	1		30.27	11.5	95	260				8.1				0.3		507	1.08	7.8			5
Bell 0.2	3/12/2024	1		29.68	11.8	95	34				8.1				0.2		515	1.06	5.9			4
Bell 0.2	4/2/2024	1		30.12	10.9	94	48				8.1				0.2		511	0.95	9.3			4
Bell 0.2	5/14/2024	1		30.16	10.6	94	292				8				0.2		427	0.9	10.5			5
Bell 0.2	6/11/2024	1		29.89	10.1	94	59				8				0.2		404	0.9	12.2			7
Bell 0.2	7/9/2024	1		29.83	8.4	83	800				7.6				0.2		482	0.78	14.6			7
Bell 0.2	8/13/2024	1		30.07	9.7	94	77				8				0.2		450		14.7			6
Bell 0.2	9/17/2024	1		29.87	10.3	95	76				8				0.2		502	1.06	11.7			3
Bell 0.2	10/8/2024	1		29.98	10.6	96	73				7.9				0.2		503	0.6	10			2
Bell 0.2	11/12/2024	1		29.96	11.5	98	15				8.1				0.3		507	1.54	8.3			2
Bell 0.2	12/10/2024	1		30.5	12.1	94	14				7.7				0.2		490	1.24	5.6			5
Cassalery 0.0	5/12/2015	1	14.7				4		"1,184.40"	3.7		13.8			0.3	"6,202.10"			12.5	"1,692.70"	26.6	
Cassalery 0.0	6/11/2015	1	22.5				2	2	"1,315.90"	3.6		17.1			0.4	480.7			12.9	"1,692.70"	28.2	
Cassalery 0.0	7/7/2015	1	18.6				2	2	"1,191.40"	3.1		13.7			0.5	"6,320.60"			15	"2,057.20"	28.5	
Cassalery 0.0	8/13/2015	1	11.5						"1,250.50"	3.1		8.5				"8,609.60"				"1,719.40"	18.7	
Cassalery 0.0	1/25/2016	1																				
Cassalery 0.0	4/11/2016	1	52.1	30.15	9.9		310	6.1	"1,561.68"	9.54	7.8	28.08			0.8	"6,192.91"	1495		11.6	"2,397.52"	46.14	6
Cassalery 0.0	5/17/2016	1	14.1	30.32	10		30	4.6	"1,969.44"	5.22	8	14.39			0.2	"6,700.35"	404		11.7	"2,561.24"	70.59	6
Cassalery 0.0	6/21/2016	1	25.1	30.32	9.7		26		"1,744.88"	4.07	7.9	16.87			0.2	"6,473.71"	456		12.8	"2,307.40"	28.24	2
Cassalery 0.0	7/19/2016	1	15.9	30.11	6.6		16		"1,608.55"	3.46	7.9	13.85			0.5	"6,383.26"	1019		14.9	"2,079.42"	24.16	2
Cassalery 0.0	8/15/2016	1	9.7	30.11	9.3		92		"1,337.21"	2.01	7.9	9.82			0.1	"5,896.70"	263		14.5	"1,779.00"	20.13	2
Cassalery 0.0	9/20/2016	1	16.3	30.17	9.9		34		"1,273.08"	1.69	7.9	10.19			0.4	"6,204.31"	722		11.9	"1,696.98"	21.68	2
Cassalery 0.0	10/18/2016	1																				
Cassalery 0.0	11/14/2016	1																				
Cassalery 0.0	12/13/2016	1																				
Cassalery 0.0	1/9/2017	1																				
Cassalery 0.0	2/14/2017	1	171	30.02	11.7	92	14		980.71	7.37	7.7	18.36			1.5	"12,400.87"	2840	-3.05	4.8	"1,539.45"	75.57	11
Cassalery 0.0	3/14/2017	1	31.5	29.72	10.4	92	122		827.84	6.88	7.7	30.37			1	"5,874.10"	2030		9.3	"1,744.88"	100.35	7
