ActivityIdentifier,OrganizationIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,ResultStatusName,ResultValueTypeName,SubmitData
Ag Cr 0.3-20180417-SR,ClallamCoDCD,Dissolved oxygen (DO),12.1,mg/l,Final,Actual,1
Ag Cr 0.3-20180417-SR,ClallamCoDCD,Specific conductance,222,mS/cm,Final,Actual,1
Ag Cr 0.3-20180417-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20180417-SR,ClallamCoDCD,Turbidity,9,FNU,Final,Actual,1
Ag Cr 0.3-20180417-SR,ClallamCoDCD,Fecal Coliform,53,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20180417-SR,ClallamCoDCD,Gage height,0.34,ft,Final,Actual,1
Ag Cr 0.3-20180814-SR,ClallamCoDCD,"Temperature, water",15.2,deg C,Final,Actual,1
Ag Cr 0.3-20180814-SR,ClallamCoDCD,pH,7.8,None,Final,Actual,1
Ag Cr 0.3-20180814-SR,ClallamCoDCD,Dissolved oxygen (DO),8.8,mg/l,Final,Actual,1
Ag Cr 0.3-20180814-SR,ClallamCoDCD,Specific conductance,172,mS/cm,Final,Actual,1
Ag Cr 0.3-20180814-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20180814-SR,ClallamCoDCD,Turbidity,1.5,FNU,Final,Actual,1
Ag Cr 0.3-20180814-SR,ClallamCoDCD,Fecal Coliform,55,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20180814-SR,ClallamCoDCD,Gage height,0.45,ft,Final,Actual,1
Ag Cr 0.3-20181114-SR,ClallamCoDCD,"Temperature, water",7.2,deg C,Final,Actual,1
Ag Cr 0.3-20181114-SR,ClallamCoDCD,pH,7.8,None,Final,Actual,1
Ag Cr 0.3-20181114-SR,ClallamCoDCD,Dissolved oxygen (DO),11.3,mg/l,Final,Actual,1
Ag Cr 0.3-20181114-SR,ClallamCoDCD,Specific conductance,255,mS/cm,Final,Actual,1
Ag Cr 0.3-20181114-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20181114-SR,ClallamCoDCD,Turbidity,6,FNU,Final,Actual,1
Ag Cr 0.3-20181114-SR,ClallamCoDCD,Fecal Coliform,7,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20181114-SR,ClallamCoDCD,Gage height,0.22,ft,Final,Actual,1
Ag Cr 0.3-20190108-SR,ClallamCoDCD,"Temperature, water",3.8,deg C,Final,Actual,1
Ag Cr 0.3-20190108-SR,ClallamCoDCD,pH,7.7,None,Final,Actual,1
Ag Cr 0.3-20190108-SR,ClallamCoDCD,Dissolved oxygen (DO),12.6,mg/l,Final,Actual,1
Ag Cr 0.3-20190108-SR,ClallamCoDCD,Specific conductance,229,mS/cm,Final,Actual,1
Ag Cr 0.3-20190108-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20190108-SR,ClallamCoDCD,Turbidity,14,FNU,Final,Actual,1
Ag Cr 0.3-20190108-SR,ClallamCoDCD,Fecal Coliform,75,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20190108-SR,ClallamCoDCD,Gage height,0.52,ft,Final,Actual,1
Ag Cr 0.3-20190422-SR,ClallamCoDCD,"Temperature, water",9.7,deg C,Final,Actual,1
Ag Cr 0.3-20190422-SR,ClallamCoDCD,pH,7.9,None,Final,Actual,1
Ag Cr 0.3-20190422-SR,ClallamCoDCD,Dissolved oxygen (DO),11.6,mg/l,Final,Actual,1
Ag Cr 0.3-20190422-SR,ClallamCoDCD,Specific conductance,179,mS/cm,Final,Actual,1
Ag Cr 0.3-20190422-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20190422-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
Ag Cr 0.3-20190422-SR,ClallamCoDCD,Fecal Coliform,13,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20190422-SR,ClallamCoDCD,Gage height,0.69,ft,Final,Actual,1
Ag Cr 0.3-20190813-SR,ClallamCoDCD,"Temperature, water",15.6,deg C,Final,Actual,1
Ag Cr 0.3-20190813-SR,ClallamCoDCD,pH,7.7,None,Final,Actual,1
Ag Cr 0.3-20190813-SR,ClallamCoDCD,Dissolved oxygen (DO),9.5,mg/l,Final,Actual,1
Ag Cr 0.3-20190813-SR,ClallamCoDCD,Specific conductance,164,mS/cm,Final,Actual,1
Ag Cr 0.3-20190813-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20190813-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
Ag Cr 0.3-20190813-SR,ClallamCoDCD,Fecal Coliform,246,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20190813-SR,ClallamCoDCD,Gage height,2.28,ft,Final,Actual,1
Ag Cr 0.3-20191119-SR,ClallamCoDCD,"Temperature, water",8.7,deg C,Final,Actual,1
Ag Cr 0.3-20191119-SR,ClallamCoDCD,pH,7.6,None,Final,Actual,1
Ag Cr 0.3-20191119-SR,ClallamCoDCD,Dissolved oxygen (DO),10.8,mg/l,Final,Actual,1
Ag Cr 0.3-20191119-SR,ClallamCoDCD,Specific conductance,215,mS/cm,Final,Actual,1
Ag Cr 0.3-20191119-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20191119-SR,ClallamCoDCD,Turbidity,12,FNU,Final,Actual,1
Ag Cr 0.3-20191119-SR,ClallamCoDCD,Fecal Coliform,100,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20191119-SR,ClallamCoDCD,Gage height,0.6,ft,Final,Actual,1
Ag Cr 0.3-20200122-SR,ClallamCoDCD,"Temperature, water",4.2,deg C,Final,Actual,1
Ag Cr 0.3-20200122-SR,ClallamCoDCD,pH,7.2,None,Final,Actual,1
Ag Cr 0.3-20200122-SR,ClallamCoDCD,Dissolved oxygen (DO),12.4,mg/l,Final,Actual,1
Ag Cr 0.3-20200122-SR,ClallamCoDCD,Specific conductance,218,mS/cm,Final,Actual,1
Ag Cr 0.3-20200122-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20200122-SR,ClallamCoDCD,Fecal Coliform,114,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20200122-SR,ClallamCoDCD,Gage height,0.7,ft,Final,Actual,1
Ag Cr 0.3-20200420-SR,ClallamCoDCD,"Temperature, water",11.2,deg C,Final,Actual,1
Ag Cr 0.3-20200420-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
Ag Cr 0.3-20200420-SR,ClallamCoDCD,Dissolved oxygen (DO),12.2,mg/l,Final,Actual,1
Ag Cr 0.3-20200420-SR,ClallamCoDCD,Specific conductance,179,mS/cm,Final,Actual,1
Ag Cr 0.3-20200420-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20200420-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
Ag Cr 0.3-20200420-SR,ClallamCoDCD,Fecal Coliform,33,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20200420-SR,ClallamCoDCD,Gage height,0.4,ft,Final,Actual,1
Ag Cr 0.3-20200818-SR,ClallamCoDCD,"Temperature, water",16,deg C,Final,Actual,1
Ag Cr 0.3-20200818-SR,ClallamCoDCD,Dissolved oxygen (DO),9,mg/l,Final,Actual,1
Ag Cr 0.3-20200818-SR,ClallamCoDCD,Specific conductance,175,mS/cm,Final,Actual,1
Ag Cr 0.3-20200818-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20200818-SR,ClallamCoDCD,Turbidity,4,FNU,Final,Actual,1
Ag Cr 0.3-20200818-SR,ClallamCoDCD,Fecal Coliform,264,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20200818-SR,ClallamCoDCD,Gage height,0.5,ft,Final,Actual,1
Ag Cr 0.3-20201117-SR,ClallamCoDCD,"Temperature, water",7.1,deg C,Final,Actual,1
Ag Cr 0.3-20201117-SR,ClallamCoDCD,pH,7.7,None,Final,Actual,1
Ag Cr 0.3-20201117-SR,ClallamCoDCD,Dissolved oxygen (DO),10.9,mg/l,Final,Actual,1
Ag Cr 0.3-20201117-SR,ClallamCoDCD,Specific conductance,225,mS/cm,Final,Actual,1
Ag Cr 0.3-20201117-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20201117-SR,ClallamCoDCD,Turbidity,13,FNU,Final,Actual,1
Ag Cr 0.3-20201117-SR,ClallamCoDCD,Fecal Coliform,176,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20201117-SR,ClallamCoDCD,Gage height,1.95,ft,Final,Actual,1
Ag Cr 0.3-20210126-SR,ClallamCoDCD,"Temperature, water",2.2,deg C,Final,Actual,1
Ag Cr 0.3-20210126-SR,ClallamCoDCD,pH,8.1,None,Final,Actual,1
Ag Cr 0.3-20210126-SR,ClallamCoDCD,Dissolved oxygen (DO),13.6,mg/l,Final,Actual,1
Ag Cr 0.3-20210126-SR,ClallamCoDCD,Specific conductance,241,mS/cm,Final,Actual,1
Ag Cr 0.3-20210126-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20210126-SR,ClallamCoDCD,Turbidity,17,FNU,Final,Actual,1
Ag Cr 0.3-20210126-SR,ClallamCoDCD,Fecal Coliform,34,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20210126-SR,ClallamCoDCD,Gage height,0.18,ft,Final,Actual,1
Ag Cr 0.3-20210420-SR,ClallamCoDCD,"Temperature, water",13.7,deg C,Final,Actual,1
Ag Cr 0.3-20210420-SR,ClallamCoDCD,pH,8.5,None,Final,Actual,1
Ag Cr 0.3-20210420-SR,ClallamCoDCD,Dissolved oxygen (DO),12.2,mg/l,Final,Actual,1
Ag Cr 0.3-20210420-SR,ClallamCoDCD,Specific conductance,186,mS/cm,Final,Actual,1
Ag Cr 0.3-20210420-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20210420-SR,ClallamCoDCD,Turbidity,6,FNU,Final,Actual,1
Ag Cr 0.3-20210420-SR,ClallamCoDCD,Fecal Coliform,10,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20210420-SR,ClallamCoDCD,Gage height,0.2,ft,Final,Actual,1
Ag Cr 0.3-20210810-SR,ClallamCoDCD,"Temperature, water",16.9,deg C,Final,Actual,1
Ag Cr 0.3-20210810-SR,ClallamCoDCD,pH,8.2,None,Final,Actual,1
Ag Cr 0.3-20210810-SR,ClallamCoDCD,Dissolved oxygen (DO),10.4,mg/l,Final,Actual,1
Ag Cr 0.3-20210810-SR,ClallamCoDCD,Specific conductance,168,mS/cm,Final,Actual,1
Ag Cr 0.3-20210810-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20210810-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
Ag Cr 0.3-20210810-SR,ClallamCoDCD,Fecal Coliform,37,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20210810-SR,ClallamCoDCD,Gage height,0.48,ft,Final,Actual,1
Ag Cr 0.3-20211116-SR,ClallamCoDCD,"Temperature, water",7.3,deg C,Final,Actual,1
Ag Cr 0.3-20211116-SR,ClallamCoDCD,pH,7.5,None,Final,Actual,1
Ag Cr 0.3-20211116-SR,ClallamCoDCD,Dissolved oxygen (DO),11.9,mg/l,Final,Actual,1
Ag Cr 0.3-20211116-SR,ClallamCoDCD,Specific conductance,254,mS/cm,Final,Actual,1
Ag Cr 0.3-20211116-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20211116-SR,ClallamCoDCD,Turbidity,13,FNU,Final,Actual,1
Ag Cr 0.3-20211116-SR,ClallamCoDCD,Fecal Coliform,179,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20211116-SR,ClallamCoDCD,Gage height,4.48,ft,Final,Actual,1
Ag Cr 0.3-20220111-SR,ClallamCoDCD,"Temperature, water",4.4,deg C,Final,Actual,1
Ag Cr 0.3-20220111-SR,ClallamCoDCD,pH,7.6,None,Final,Actual,1
Ag Cr 0.3-20220111-SR,ClallamCoDCD,Dissolved oxygen (DO),12.9,mg/l,Final,Actual,1
Ag Cr 0.3-20220111-SR,ClallamCoDCD,Specific conductance,239,mS/cm,Final,Actual,1
Ag Cr 0.3-20220111-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20220111-SR,ClallamCoDCD,Turbidity,13,FNU,Final,Actual,1
Ag Cr 0.3-20220111-SR,ClallamCoDCD,Fecal Coliform,43,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20220111-SR,ClallamCoDCD,Gage height,0.45,ft,Final,Actual,1
Ag Cr 0.3-20220526-SR,ClallamCoDCD,"Temperature, water",11.1,deg C,Final,Actual,1
Ag Cr 0.3-20220526-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
Ag Cr 0.3-20220526-SR,ClallamCoDCD,Dissolved oxygen (DO),10.9,mg/l,Final,Actual,1
Ag Cr 0.3-20220526-SR,ClallamCoDCD,Specific conductance,158,mS/cm,Final,Actual,1
Ag Cr 0.3-20220526-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20220526-SR,ClallamCoDCD,Turbidity,9,FNU,Final,Actual,1
Ag Cr 0.3-20220526-SR,ClallamCoDCD,Fecal Coliform,18,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20220526-SR,ClallamCoDCD,Gage height,0.3,ft,Final,Actual,1
Ag Cr 0.3-20220809-SR,ClallamCoDCD,"Temperature, water",15.2,deg C,Final,Actual,1
Ag Cr 0.3-20220809-SR,ClallamCoDCD,pH,7.5,None,Final,Actual,1
Ag Cr 0.3-20220809-SR,ClallamCoDCD,Dissolved oxygen (DO),9.8,mg/l,Final,Actual,1
Ag Cr 0.3-20220809-SR,ClallamCoDCD,Specific conductance,124,mS/cm,Final,Actual,1
Ag Cr 0.3-20220809-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20220809-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
Ag Cr 0.3-20220809-SR,ClallamCoDCD,Fecal Coliform,137,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20220809-SR,ClallamCoDCD,Gage height,0.28,ft,Final,Actual,1
Ag Cr 0.3-20221116-SR,ClallamCoDCD,"Temperature, water",5.9,deg C,Final,Actual,1
Ag Cr 0.3-20221116-SR,ClallamCoDCD,pH,8.2,None,Final,Actual,1
Ag Cr 0.3-20221116-SR,ClallamCoDCD,Dissolved oxygen (DO),12.6,mg/l,Final,Actual,1
Ag Cr 0.3-20221116-SR,ClallamCoDCD,Specific conductance,272,mS/cm,Final,Actual,1
Ag Cr 0.3-20221116-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20221116-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
Ag Cr 0.3-20221116-SR,ClallamCoDCD,Fecal Coliform,70,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20221116-SR,ClallamCoDCD,Gage height,0.12,ft,Final,Actual,1
Ag Cr 0.3-20230110-SR,ClallamCoDCD,"Temperature, water",4.5,deg C,Final,Actual,1
Ag Cr 0.3-20230110-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
Ag Cr 0.3-20230110-SR,ClallamCoDCD,Dissolved oxygen (DO),12.6,mg/l,Final,Actual,1
Ag Cr 0.3-20230110-SR,ClallamCoDCD,Specific conductance,268,mS/cm,Final,Actual,1
Ag Cr 0.3-20230110-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20230110-SR,ClallamCoDCD,Turbidity,8,FNU,Final,Actual,1
Ag Cr 0.3-20230110-SR,ClallamCoDCD,Fecal Coliform,116,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20230110-SR,ClallamCoDCD,Gage height,0.22,ft,Final,Actual,1
Ag Cr 0.3-20230411-SR,ClallamCoDCD,"Temperature, water",8.2,deg C,Final,Actual,1
Ag Cr 0.3-20230411-SR,ClallamCoDCD,pH,8.3,None,Final,Actual,1
Ag Cr 0.3-20230411-SR,ClallamCoDCD,Dissolved oxygen (DO),12.8,mg/l,Final,Actual,1
Ag Cr 0.3-20230411-SR,ClallamCoDCD,Specific conductance,266,mS/cm,Final,Actual,1
Ag Cr 0.3-20230411-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20230411-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
Ag Cr 0.3-20230411-SR,ClallamCoDCD,Fecal Coliform,8,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20230411-SR,ClallamCoDCD,Gage height,0.2,ft,Final,Actual,1
Ag Cr 0.3-20230815-SR,ClallamCoDCD,"Temperature, water",18,deg C,Final,Actual,1
Ag Cr 0.3-20230815-SR,ClallamCoDCD,pH,7.8,None,Final,Actual,1
Ag Cr 0.3-20230815-SR,ClallamCoDCD,Dissolved oxygen (DO),8.8,mg/l,Final,Actual,1
Ag Cr 0.3-20230815-SR,ClallamCoDCD,Specific conductance,179,mS/cm,Final,Actual,1
Ag Cr 0.3-20230815-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20230815-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
Ag Cr 0.3-20230815-SR,ClallamCoDCD,Fecal Coliform,61,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20230815-SR,ClallamCoDCD,Gage height,0.2,ft,Final,Actual,1
Ag Cr 0.3-20231114-SR,ClallamCoDCD,"Temperature, water",5.3,deg C,Final,Actual,1
Ag Cr 0.3-20231114-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
Ag Cr 0.3-20231114-SR,ClallamCoDCD,Dissolved oxygen (DO),12.6,mg/l,Final,Actual,1
Ag Cr 0.3-20231114-SR,ClallamCoDCD,Specific conductance,269,mS/cm,Final,Actual,1
Ag Cr 0.3-20231114-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20231114-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
Ag Cr 0.3-20231114-SR,ClallamCoDCD,Fecal Coliform,22,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20231114-SR,ClallamCoDCD,Gage height,0.16,ft,Final,Actual,1
Ag Cr 0.3-20240111-SR,ClallamCoDCD,"Temperature, water",3.7,deg C,Final,Actual,1
Ag Cr 0.3-20240111-SR,ClallamCoDCD,pH,7.9,None,Final,Actual,1
Ag Cr 0.3-20240111-SR,ClallamCoDCD,Dissolved oxygen (DO),12.7,mg/l,Final,Actual,1
Ag Cr 0.3-20240111-SR,ClallamCoDCD,Specific conductance,289,mS/cm,Final,Actual,1
Ag Cr 0.3-20240111-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20240111-SR,ClallamCoDCD,Turbidity,9,FNU,Final,Actual,1
Ag Cr 0.3-20240111-SR,ClallamCoDCD,Fecal Coliform,276,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20240111-SR,ClallamCoDCD,Gage height,0.28,ft,Final,Actual,1
Ag Cr 0.3-20240312-SR,ClallamCoDCD,"Temperature, water",6.3,deg C,Final,Actual,1
